## Raw data extracted from original project calibration screenshots (June 2026)
## Source: Figures 33, 34, 35 of the original project report
## Each row is one load_cell output reading (grams)

test_mass_lb,expected_mass_g,timestamp,load_cell_output_g
2.5,1134,14:48:45.471,1133.81
2.5,1134,14:48:45.551,1130.96
2.5,1134,14:48:45.672,1138.24
2.5,1134,14:48:45.763,1135.59
2.5,1134,14:48:45.855,1133.28
2.5,1134,14:48:45.948,1130.70
2.5,1134,14:48:46.040,1138.66
5.0,2268,14:49:07.058,2267.60
5.0,2268,14:49:07.150,2265.13
5.0,2268,14:49:07.242,2269.13
5.0,2268,14:49:07.334,2263.26
5.0,2268,14:49:07.424,2257.93
5.0,2268,14:49:07.504,2251.79
5.0,2268,14:49:07.639,2265.05
5.0,2268,14:49:07.730,2268.71
10.0,4536,14:49:36.372,4536.30
10.0,4536,14:49:36.507,4535.50
10.0,4536,14:49:36.599,4534.15
10.0,4536,14:49:36.691,4532.19
10.0,4536,14:49:36.783,4531.25
10.0,4536,14:49:36.875,4530.77
10.0,4536,14:49:36.967,4538.62
10.0,4536,14:49:37.059,4536.19
10.0,4536,14:49:37.151,4535.89
10.0,4536,14:49:37.243,4531.80
10.0,4536,14:49:37.321,4538.97
